Well;X_m;Y_m;Zone;Type;Depth_m;Porosity;Permeability;Density;Sw;So;Lab;year;PZ;PS;GK;NGK
Well_20;1103;2136;Зона_А;core;2184.0;0.1035;27.16;2.505;0.3557;0.5473;Lab_B;2000.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2184.1;0.0477;0.01;2.602;0.2682;0.4968;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2198.1;0.1109;155.55;2.479;0.3561;0.489;Lab_B;2008.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2227.6;0.0797;0.61;2.608;0.3611;0.4174;Lab_B;2018.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2278.5;0.0676;0.76;2.549;0.3353;0.5598;Lab_B;2008.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2407.4;0.0823;3.25;2.507;0.1308;0.7533;Lab_A;2005.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2491.0;0.0533;0.01;2.606;0.3143;0.5159;Lab_A;2000.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2519.9;0.0737;1.33;2.574;0.5096;0.3849;Lab_B;2008.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2533.5;0.0888;0.6;2.593;0.4326;0.4346;Lab_C;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2557.3;0.1125;3.76;2.523;0.5839;0.2673;Lab_C;2015.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2600.8;0.0711;0.14;2.566;0.1939;0.5338;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2601.6;0.0806;0.16;2.592;0.1496;0.7512;Lab_A;2005.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2612.1;0.0822;0.41;2.574;0.5371;0.4389;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2636.4;0.1102;2.12;2.582;0.4654;0.4963;Lab_C;2000.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2688.7;0.1169;1.13;2.473;0.4752;0.4005;Lab_B;2015.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2735.0;0.0802;4.64;2.58;0.2707;0.4877;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2769.8;0.0984;10.71;2.517;0.3977;0.4628;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2891.5;0.0798;0.03;2.577;0.1821;0.713;Lab_C;2018.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2898.9;0.1276;36.57;2.489;0.2587;0.4771;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;2954.5;0.1175;0.25;2.564;0.1283;0.8126;Lab_C;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;3062.9;0.0248;0.01;2.645;0.3674;0.5335;Lab_A;2005.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;3112.7;0.0611;0.41;2.611;0.2106;0.4979;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;3130.4;0.0481;0.09;2.592;0.304;0.5543;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;core;3173.3;0.1035;0.35;2.548;0.1092;0.7132;Lab_C;2000.0;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1905.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;23.715;35.53;10.715;176.67
Well_20;1103;2136;Зона_А;gis;1906.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;34.835;41.26;11.854;184.45
Well_20;1103;2136;Зона_А;gis;1906.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;29.878;38.96;11.44;177.27
Well_20;1103;2136;Зона_А;gis;1907.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.959;35.35;11.138;177.97
Well_20;1103;2136;Зона_А;gis;1907.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;20.255;29.72;10.921;180.36
Well_20;1103;2136;Зона_А;gis;1908.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;35.97;32.37;11.731;185.03
Well_20;1103;2136;Зона_А;gis;1908.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;25.769;35.81;12.384;181.15
Well_20;1103;2136;Зона_А;gis;1909.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;29.882;32.5;11.535;178.56
Well_20;1103;2136;Зона_А;gis;1909.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;15.728;29.87;11.493;192.88
Well_20;1103;2136;Зона_А;gis;1910.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.392;36.01;10.784;176.94
Well_20;1103;2136;Зона_А;gis;1910.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;17.8;42.05;10.926;181.57
Well_20;1103;2136;Зона_А;gis;1911.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;16.736;37.25;11.127;186.08
Well_20;1103;2136;Зона_А;gis;1911.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1912.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1912.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1913.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1913.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1914.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1914.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1915.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1915.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1916.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1916.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1917.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1917.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1918.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1918.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1919.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1919.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1920.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1920.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1921.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1921.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1922.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1922.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1923.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1923.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1924.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1924.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1925.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1925.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1926.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1926.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_20;1103;2136;Зона_А;gis;1927.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
