WELL_ID,X_M,Y_M,ZONE,DATA_TYPE,DEPTH_M,POROSITY,PERMEABILITY_MD,DENSITY_GCC,WATER_SATURATION,OIL_SATURATION,LAB_ID,YEAR,PZ,PS,GK,NGK
Well_42,3902,3589,Зона_Б,core,1855.5,0.1131,6.38,2.504,0.1341,0.5639,Lab_A,2018.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,1900.1,0.1635,239.97,2.39,0.3536,0.4967,Lab_A,1995.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,1958.6,0.1294,32.06,2.453,0.3866,0.5224,Lab_A,2012.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,1990.1,0.1071,11.81,2.483,0.3021,0.5477,Lab_B,2005.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2025.1,0.1607,158.77,2.353,0.4976,0.3075,Lab_A,1995.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2031.9,0.1406,1593.42,2.48,0.417,0.3949,Lab_C,2008.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2050.1,0.1283,80.91,2.45,0.3235,0.5295,Lab_B,2015.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2107.0,0.1257,18.73,2.465,0.216,0.5974,Lab_A,2000.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2149.7,0.1556,393.74,2.413,0.1682,0.6641,Lab_B,2000.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2286.3,0.1765,2000.0,2.384,0.1507,0.6955,Lab_B,1995.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2366.4,0.132,18.74,2.399,0.108,0.7973,Lab_B,2018.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2439.9,0.2071,174.35,2.37,0.3921,0.5183,Lab_C,2000.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2454.9,0.1515,435.76,2.432,0.2467,0.6166,Lab_A,2008.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2533.0,0.1581,139.2,2.429,0.2822,0.5304,Lab_A,2015.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2533.8,0.1455,1015.95,2.418,0.4162,0.4156,Lab_B,1995.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2583.6,0.1727,666.39,2.412,0.1934,0.6793,Lab_C,2018.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2655.3,0.1451,50.06,2.424,0.65,0.55,Lab_B,2015.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2700.8,0.2013,113.05,2.37,0.2559,0.6716,Lab_C,2015.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2747.5,0.1003,1.34,2.495,0.1904,0.5284,Lab_B,2008.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,core,2818.6,0.1406,155.16,2.407,0.2574,0.4515,Lab_B,2015.0,nan,nan,nan,nan
Well_42,3902,3589,Зона_Б,gis,1642.7,nan,nan,nan,nan,nan,nan,nan,29.72,75.09,6.371,104.16
Well_42,3902,3589,Зона_Б,gis,1643.2,nan,nan,nan,nan,nan,nan,nan,34.962,73.22,nan,110.35
Well_42,3902,3589,Зона_Б,gis,1643.7,nan,nan,nan,nan,nan,nan,nan,31.462,73.77,5.769,104.63
Well_42,3902,3589,Зона_Б,gis,1644.2,nan,nan,nan,nan,nan,nan,nan,22.646,80.29,6.945,109.85
Well_42,3902,3589,Зона_Б,gis,1644.7,nan,nan,nan,nan,nan,nan,nan,43.198,67.87,6.914,117.51
Well_42,3902,3589,Зона_Б,gis,1645.2,nan,nan,nan,nan,nan,nan,nan,36.345,73.93,5.618,105.95
Well_42,3902,3589,Зона_Б,gis,1645.7,nan,nan,nan,nan,nan,nan,nan,20.231,76.88,4.744,103.49
Well_42,3902,3589,Зона_Б,gis,1646.2,nan,nan,nan,nan,nan,nan,nan,21.451,nan,nan,107.79
Well_42,3902,3589,Зона_Б,gis,1646.7,nan,nan,nan,nan,nan,nan,nan,39.05,72.22,6.761,107.43
Well_42,3902,3589,Зона_Б,gis,1647.2,nan,nan,nan,nan,nan,nan,nan,39.649,69.54,6.171,108.73
Well_42,3902,3589,Зона_Б,gis,1647.7,nan,nan,nan,nan,nan,nan,nan,38.851,65.93,6.845,118.78
Well_42,3902,3589,Зона_Б,gis,1648.2,nan,nan,nan,nan,nan,nan,nan,16.663,68.17,5.907,118.31
Well_42,3902,3589,Зона_Б,gis,1648.7,nan,nan,nan,nan,nan,nan,nan,22.73,70.23,5.287,112.34
Well_42,3902,3589,Зона_Б,gis,1649.2,nan,nan,nan,nan,nan,nan,nan,19.292,68.22,6.731,112.42
Well_42,3902,3589,Зона_Б,gis,1649.7,nan,nan,nan,nan,nan,nan,nan,29.384,68.81,6.886,110.45
Well_42,3902,3589,Зона_Б,gis,1650.2,nan,nan,nan,nan,nan,nan,nan,20.011,73.84,6.301,97.1
Well_42,3902,3589,Зона_Б,gis,1650.7,nan,nan,nan,nan,nan,nan,nan,22.881,74.29,5.871,109.26
