Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_6;4097;728;Зона_Б;core;2176,5;0,0727;1,99;2,557;0,3578;0,3884;Lab_B;2000,0;;;;
Well_6;4097;728;Зона_Б;core;2196,7;0,0881;0,07;2,587;0,1986;0,5138;Lab_A;2008,0;;;;
Well_6;4097;728;Зона_Б;core;2209,6;0,1045;3,02;2,516;0,1437;0,6605;Lab_B;2005,0;;;;
Well_6;4097;728;Зона_Б;core;2262,4;0,0811;0,02;2,558;0,3009;0,4599;Lab_A;2015,0;;;;
Well_6;4097;728;Зона_Б;core;2317,8;0,1364;15,55;2,523;0,4607;0,3602;Lab_C;2000,0;;;;
Well_6;4097;728;Зона_Б;core;2339,1;0,0437;0,01;2,615;0,2411;0,6017;Lab_A;2012,0;;;;
Well_6;4097;728;Зона_Б;core;2365,4;0,0836;0,78;2,564;0,1716;0,6954;Lab_B;2015,0;;;;
Well_6;4097;728;Зона_Б;core;2403,1;0,1261;305,0;2,503;0,24;0,4876;Lab_B;2000,0;;;;
Well_6;4097;728;Зона_Б;core;2440,7;0,1194;1,76;2,48;0,317;0,4571;Lab_B;2008,0;;;;
Well_6;4097;728;Зона_Б;core;2447,7;0,0681;0,05;2,567;0,2975;0,4529;Lab_C;2018,0;;;;
Well_6;4097;728;Зона_Б;core;2458,4;0,0281;0,01;2,662;0,413;0,4899;Lab_A;1995,0;;;;
Well_6;4097;728;Зона_Б;core;2536,6;0,0638;0,01;2,599;0,1864;0,5834;Lab_A;2008,0;;;;
Well_6;4097;728;Зона_Б;core;2544,8;0,1113;5,08;2,507;0,3745;0,4887;Lab_B;2018,0;;;;
Well_6;4097;728;Зона_Б;core;2572,0;0,0428;0,09;2,608;0,3285;0,4463;Lab_B;2015,0;;;;
Well_6;4097;728;Зона_Б;core;2771,3;0,0713;0,11;2,542;0,3191;0,6401;Lab_B;2012,0;;;;
Well_6;4097;728;Зона_Б;core;2882,2;0,1253;168,21;2,511;0,3222;0,6285;Lab_A;1995,0;;;;
Well_6;4097;728;Зона_Б;core;2891,4;0,0905;0,37;2,541;0,2398;0,6642;Lab_B;2000,0;;;;
