well_id,depth_m,porosity,permeability_mD,density_gcc,water_saturation,oil_saturation,year,lab_id,x_m,y_m,геол_зона
Well_6,3448.5,0.0611,0.71,2.639,0.2397,0.4081,1996,Lab_A,3000,2000,Зона_В
Well_10,2145.4,0.1322,7.0,2.591,0.3783,0.4802,2003,Lab_B,2000,3000,Зона_Б
Well_3,3388.5,0.17693,0.91,2.563,0.1859,0.61,2014,Lab_C,2000,1000,Зона_Б
Well_1,1713.5,0.0853,2.84,2.643,0.1928,0.5788,1992,Lab_B,1000,1000,Зона_А
Well_4,1765.5,0.10231,7.8,2.443,0.7901,0.5744,2000,Lab_C,2000,2000,Зона_Б
Well_5,2470.6,0.02561,10.06,2.78,0.2183,0.5991,1994,Lab_C,3000,1000,Зона_В
Well_9,3141.3,0.1521,1.28,2.498,0.18,0.5759,2006,Lab_C,1000,3000,Зона_Б
Well_2,2556.7,0.1044,48.12,2.509,0.1921,0.3632,2016,Lab_B,1000,2000,Зона_А
Well_1,3253.3,0.0492,1.96,2.591,0.3406,0.46,2004,Lab_B,1000,1000,Зона_А
Well_3,1641.9,0.125,46.79,2.584,0.3248,0.6001,1997,Lab_B,2000,1000,Зона_Б
Well_10,1650.7,0.0516,0.75,2.53,0.3474,0.4296,2006,Lab_B,2000,3000,Зона_Б
Well_1,3398.3,0.11323,1.53,2.373,0.469,0.5025,1992,Lab_C,1000,1000,Зона_А
Well_5,3220.8,0.0312,3.22,2.569,0.3253,0.2194,1992,Lab_B,3000,1000,Зона_В
Well_1,3392.4,0.074,21.64,2.412,0.3531,0.4981,1994,Lab_B,1000,1000,Зона_А
Well_7,3122.4,0.1583,153.45,2.369,0.1858,0.2734,1996,Lab_B,1500,1500,Зона_А
Well_2,2000.5,0.21099,2.79,2.468,0.0031,0.8952,2006,Lab_C,1000,2000,Зона_А
Well_4,1929.2,0.02899,6.66,176.81,0.6822,0.5949,2016,Lab_C,2000,2000,Зона_Б
Well_8,2293.3,0.09,1.99,2.569,0.0936,0.5935,2004,Lab_B,2500,1500,Зона_Б
Well_8,2883.4,0.0754,5.88,2.334,0.3529,0.4929,1994,Lab_C,2500,1500,Зона_Б
Well_7,2638.2,0.0621,7.61,2.543,0.1122,0.7119,2002,Lab_A,1500,1500,Зона_А
Well_6,1977.2,0.0793,15.08,2.747,0.3821,0.5016,2019,Lab_B,3000,2000,Зона_В
Well_5,2603.2,0.011,11.98,2.605,0.3093,0.5954,1995,Lab_B,3000,1000,Зона_В
Well_8,3055.2,0.081,14.75,2.467,0.3865,0.4448,1992,Lab_B,2500,1500,Зона_Б
Well_1,2093.0,0.22919,15.49,2.563,0.7429,0.6561,1994,Lab_C,1000,1000,Зона_А
Well_9,2963.3,0.99,1.32,2.706,0.0371,0.4877,1996,Lab_C,1000,3000,Зона_Б
Well_3,1527.3,0.0128,4.08,2.521,0.242,0.7348,2015,Lab_B,2000,1000,Зона_Б
Well_4,2019.9,0.1257,-35.93,2.565,0.3683,0.1881,1994,Lab_B,2000,2000,Зона_Б
Well_5,3330.4,0.0586,7.07,2.476,0.6435,0.502,1998,Lab_A,3000,1000,Зона_В
Well_1,3338.2,0.06162,16.47,2.755,0.2817,0.6124,1993,Lab_C,1000,1000,Зона_А
Well_3,2731.7,0.0303,14.59,2.503,0.2344,0.6497,1998,Lab_B,2000,1000,Зона_Б
Well_4,1578.4,0.0545,0.83,2.531,0.2995,0.5727,2006,Lab_B,2000,2000,Зона_Б
Well_6,1650.7,0.0457,0.46,222.01,0.0574,0.5075,1997,Lab_A,3000,2000,Зона_В
Well_2,3226.3,0.025,7.73,2.463,0.5245,0.4656,2017,Lab_A,1000,2000,Зона_А
Well_10,1810.1,0.1029,3.05,2.429,0.0762,0.3236,1993,Lab_A,2000,3000,Зона_Б
Well_8,2217.3,0.0571,8.58,2.502,0.2258,0.5566,1995,Lab_B,2500,1500,Зона_Б
Well_7,2465.0,0.1235,1.2,2.646,0.2087,0.6067,2017,Lab_C,1500,1500,Зона_А
Well_9,1687.7,0.1293,55.33,2.563,0.161,0.5102,2002,Lab_A,1000,3000,Зона_Б
Well_3,1688.3,0.0473,2.67,2.593,0.2492,0.1888,1994,Lab_B,2000,1000,Зона_Б
Well_9,2605.6,0.0476,6.39,2.635,0.2556,0.7271,2014,Lab_B,1000,3000,Зона_Б
Well_6,2322.7,0.0829,10.28,2.436,0.447,0.4958,2015,Lab_A,3000,2000,Зона_В
Well_5,3459.0,0.0979,3.45,2.583,0.2881,0.5492,2000,Lab_B,3000,1000,Зона_В
