well_id,field,DEPTH,PZ,PS,GK,NGK
Well_45,Berezovskoe,760.0,21.081,13.89,5.022,189.37
Well_45,Berezovskoe,760.1,21.039,13.89,4.933,188.79
Well_45,Berezovskoe,760.2,20.997,13.89,4.844,188.21
Well_45,Berezovskoe,760.3,21.801,13.89,4.931,186.98
Well_45,Berezovskoe,760.4,22.605,13.89,5.017,185.75
Well_45,Berezovskoe,760.5,23.515,13.89,5.21,186.84
Well_45,Berezovskoe,760.6,24.425,13.89,5.403,187.93
Well_45,Berezovskoe,760.7,25.229,13.89,5.319,189.45
Well_45,Berezovskoe,760.8,26.034,13.89,5.236,190.96
Well_45,Berezovskoe,760.9,26.775,13.89,5.325,192.03
Well_45,Berezovskoe,761.0,27.516,13.89,5.413,193.09
Well_45,Berezovskoe,761.1,27.41,13.89,5.68,191.71
Well_45,Berezovskoe,761.2,27.304,13.89,5.947,190.34
Well_45,Berezovskoe,761.3,26.733,13.89,5.828,188.91
Well_45,Berezovskoe,761.4,26.161,13.89,5.708,187.49
Well_45,Berezovskoe,761.5,25.293,13.89,5.843,188.19
Well_45,Berezovskoe,761.6,24.425,13.89,5.977,188.89
Well_45,Berezovskoe,761.7,23.155,13.89,5.929,189.45
Well_45,Berezovskoe,761.8,21.886,13.89,5.881,190.0
Well_45,Berezovskoe,761.9,19.769,13.89,6.063,190.39
Well_45,Berezovskoe,762.0,17.652,12.02,6.246,190.77
Well_45,Berezovskoe,762.1,15.409,12.45,6.297,189.03
Well_45,Berezovskoe,762.2,13.165,12.87,6.348,187.3
Well_45,Berezovskoe,762.3,11.705,13.46,6.295,187.37
Well_45,Berezovskoe,762.4,10.244,14.05,6.241,187.44
Well_45,Berezovskoe,762.5,9.292,14.99,6.414,186.6
Well_45,Berezovskoe,762.6,8.339,15.92,6.587,185.75
Well_45,Berezovskoe,762.7,7.746,16.51,6.668,186.91
Well_45,Berezovskoe,762.8,7.154,17.1,6.749,188.07
Well_45,Berezovskoe,762.9,6.837,18.16,6.587,187.47
Well_45,Berezovskoe,763.0,6.519,19.22,6.424,186.86
Well_45,Berezovskoe,763.1,6.519,19.35,6.356,186.5
Well_45,Berezovskoe,763.2,6.519,19.47,6.287,186.14
Well_45,Berezovskoe,763.3,6.773,19.73,6.257,188.0
Well_45,Berezovskoe,763.4,7.027,19.98,6.226,189.85
Well_45,Berezovskoe,763.5,7.493,21.12,6.363,191.42
Well_45,Berezovskoe,763.6,7.958,22.27,6.5,192.99
Well_45,Berezovskoe,763.7,8.424,22.9,6.574,194.97
Well_45,Berezovskoe,763.8,8.89,23.54,6.648,196.95
Well_45,Berezovskoe,763.9,9.335,23.92,6.571,196.54
Well_45,Berezovskoe,764.0,9.779,24.3,6.495,196.13
Well_45,Berezovskoe,764.1,10.097,24.21,6.368,197.48
Well_45,Berezovskoe,764.2,10.414,24.13,6.241,198.83
Well_45,Berezovskoe,764.3,10.922,23.45,6.348,200.21
Well_45,Berezovskoe,764.4,11.43,22.77,6.455,201.58
Well_45,Berezovskoe,764.5,11.705,22.22,6.523,200.98
Well_45,Berezovskoe,764.6,11.98,21.67,6.592,200.37
Well_45,Berezovskoe,764.7,12.064,21.63,6.49,199.36
Well_45,Berezovskoe,764.8,12.149,21.59,6.389,198.35
Well_45,Berezovskoe,764.9,11.747,23.03,6.587,197.26
Well_45,Berezovskoe,765.0,11.345,24.47,6.785,196.18
Well_45,Berezovskoe,765.1,11.091,26.03,6.604,195.77
Well_45,Berezovskoe,765.2,10.837,27.6,6.424,195.36
Well_45,Berezovskoe,765.3,11.832,28.87,6.63,196.85
Well_45,Berezovskoe,765.4,12.827,30.14,6.836,198.35
Well_45,Berezovskoe,765.5,13.017,29.04,6.727,199.22
Well_45,Berezovskoe,765.6,13.208,27.94,6.617,200.09
Well_45,Berezovskoe,765.7,12.932,26.03,6.737,198.95
Well_45,Berezovskoe,765.8,12.657,24.13,6.856,197.82
